label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color
Thailand,536,0,950.0,876.0,269,267,0.5018656716417911,0.498134328358209,0,tab:blue
South Korea,512,1,1185.0,435.0,384,128,0.75,0.25,0,tab:blue
Malaysia,496,2,950.0,793.0,258,238,0.5201612903225806,0.4798387096774194,0,tab:blue
Brazil,447,3,1140.0,420.0,349,98,0.7807606263982103,0.2192393736017897,2,tab:green
Indonesia,424,4,808.0,746.0,207,217,0.4882075471698113,0.5117924528301887,0,tab:blue
Japan,417,5,896.0,438.0,272,145,0.6522781774580336,0.3477218225419664,0,tab:blue
Argentina,416,6,951.0,440.0,310,106,0.7451923076923077,0.2548076923076923,2,tab:green
Sweden,399,7,874.0,453.0,266,133,0.6666666666666666,0.3333333333333333,5,tab:brown
Mexico,393,8,913.0,384.0,280,113,0.712468193384224,0.2875318066157761,4,tab:purple
England,386,9,956.0,308.0,296,87,0.7668393782383419,0.2253886010362694,5,tab:brown
Uruguay,385,10,705.0,503.0,230,155,0.5974025974025974,0.4025974025974026,2,tab:green
Denmark,375,11,740.0,485.0,226,146,0.6026666666666667,0.3893333333333333,5,tab:brown
Singapore,371,12,500.0,773.0,136,235,0.3665768194070081,0.633423180592992,0,tab:blue
Finland,364,13,413.0,826.0,118,246,0.3241758241758242,0.6758241758241759,5,tab:brown
Chile,361,14,571.0,574.0,170,191,0.4709141274238227,0.5290858725761773,2,tab:green
Scotland,358,15,599.0,455.0,210,145,0.5865921787709497,0.4050279329608938,5,tab:brown
Costa Rica,356,16,759.0,410.0,229,127,0.6432584269662921,0.3567415730337078,4,tab:purple
Zambia,343,17,602.0,358.0,216,127,0.6297376093294461,0.3702623906705539,6,tab:pink
Saudi Arabia,336,18,656.0,342.0,225,111,0.6696428571428571,0.3303571428571428,0,tab:blue
Paraguay,336,19,484.0,559.0,158,178,0.4702380952380952,0.5297619047619048,2,tab:green
Kuwait,332,20,648.0,377.0,198,134,0.5963855421686747,0.4036144578313253,0,tab:blue
Norway,331,21,529.0,529.0,163,168,0.4924471299093655,0.5075528700906344,5,tab:brown
Northern Ireland,331,22,377.0,595.0,121,210,0.3655589123867069,0.6344410876132931,5,tab:brown
Myanmar,330,23,615.0,558.0,178,152,0.5393939393939394,0.4606060606060606,0,tab:blue
Germany,329,24,888.0,309.0,268,58,0.8145896656534954,0.1762917933130699,5,tab:brown
Italy,326,25,669.0,271.0,252,71,0.7730061349693251,0.2177914110429447,5,tab:brown
Wales,325,26,448.0,497.0,148,177,0.4553846153846154,0.5446153846153846,5,tab:brown
Spain,322,27,797.0,248.0,252,67,0.782608695652174,0.2080745341614907,5,tab:brown
Hungary,316,28,664.0,445.0,187,126,0.5917721518987342,0.3987341772151899,5,tab:brown
Egypt,314,29,629.0,303.0,221,93,0.7038216560509554,0.2961783439490446,6,tab:pink
France,313,30,714.0,288.0,234,76,0.7476038338658147,0.242811501597444,5,tab:brown
Netherlands,311,31,764.0,257.0,234,74,0.752411575562701,0.2379421221864952,5,tab:brown
India,308,32,451.0,494.0,151,157,0.4902597402597403,0.5097402597402597,0,tab:blue
China PR,307,33,704.0,281.0,203,104,0.6612377850162866,0.3387622149837133,0,tab:blue
United States,306,34,580.0,361.0,196,110,0.6405228758169934,0.3594771241830065,4,tab:purple
Peru,306,35,415.0,496.0,127,179,0.4150326797385621,0.5849673202614379,2,tab:green
Qatar,303,36,521.0,372.0,171,132,0.5643564356435643,0.4356435643564356,0,tab:blue
Iraq,301,37,633.0,272.0,208,93,0.6910299003322259,0.3089700996677741,0,tab:blue
Portugal,300,38,635.0,280.0,215,82,0.7166666666666667,0.2733333333333333,5,tab:brown
United Arab Emirates,297,39,479.0,404.0,160,137,0.5387205387205387,0.4612794612794613,0,tab:blue
Iran,296,40,723.0,206.0,232,64,0.7837837837837838,0.2162162162162162,0,tab:blue
Russia,295,41,619.0,252.0,213,82,0.7220338983050848,0.2779661016949152,5,tab:brown
Belgium,291,42,608.0,329.0,192,96,0.6597938144329897,0.3298969072164948,5,tab:brown
Romania,289,43,564.0,334.0,184,102,0.6366782006920415,0.3529411764705882,5,tab:brown
Uganda,288,44,457.0,326.0,169,119,0.5868055555555556,0.4131944444444444,6,tab:pink
Trinidad and Tobago,287,45,558.0,407.0,161,126,0.5609756097560976,0.4390243902439024,4,tab:purple
Kenya,285,46,363.0,370.0,140,145,0.4912280701754385,0.5087719298245614,6,tab:pink
Austria,284,47,537.0,408.0,159,122,0.5598591549295775,0.4295774647887324,5,tab:brown
Switzerland,284,48,490.0,452.0,148,133,0.5211267605633803,0.4683098591549295,5,tab:brown
Honduras,283,49,512.0,383.0,157,126,0.5547703180212014,0.4452296819787986,4,tab:purple
Bulgaria,282,50,441.0,458.0,143,139,0.5070921985815603,0.4929078014184397,5,tab:brown
El Salvador,282,51,469.0,451.0,139,143,0.4929078014184397,0.5070921985815603,4,tab:purple
Colombia,278,52,382.0,398.0,144,134,0.5179856115107914,0.4820143884892086,2,tab:green
Cameroon,277,53,506.0,271.0,196,81,0.7075812274368231,0.2924187725631769,6,tab:pink
Ghana,276,54,468.0,249.0,184,92,0.6666666666666666,0.3333333333333333,6,tab:pink
Senegal,270,55,465.0,226.0,184,86,0.6814814814814815,0.3185185185185185,6,tab:pink
Nigeria,269,56,497.0,245.0,189,80,0.7026022304832714,0.2973977695167286,6,tab:pink
Bahrain,269,57,372.0,402.0,127,142,0.4721189591078067,0.5278810408921933,0,tab:blue
Algeria,267,58,503.0,276.0,172,95,0.6441947565543071,0.3558052434456928,6,tab:pink
Greece,266,59,374.0,383.0,142,124,0.5338345864661654,0.4661654135338345,5,tab:brown
Ivory Coast,265,60,542.0,262.0,189,76,0.7132075471698113,0.2867924528301886,6,tab:pink
Tunisia,264,61,473.0,256.0,171,93,0.6477272727272727,0.3522727272727273,6,tab:pink
Bolivia,264,62,283.0,610.0,75,189,0.2840909090909091,0.7159090909090909,2,tab:green
Luxembourg,261,63,146.0,785.0,30,231,0.1149425287356321,0.8850574712643678,5,tab:brown
Turkey,261,64,391.0,399.0,129,129,0.4942528735632184,0.4942528735632184,5,tab:brown
Poland,260,65,504.0,333.0,155,102,0.5961538461538461,0.3923076923076923,5,tab:brown
Cyprus,256,66,207.0,679.0,52,204,0.203125,0.796875,5,tab:brown
Ecuador,253,67,314.0,541.0,84,169,0.3320158102766798,0.6679841897233202,2,tab:green
Sudan,252,68,308.0,366.0,113,139,0.4484126984126984,0.5515873015873016,6,tab:pink
Jamaica,250,69,416.0,337.0,139,111,0.556,0.444,4,tab:purple
Malawi,250,70,292.0,349.0,111,139,0.444,0.556,6,tab:pink
Morocco,248,71,433.0,198.0,168,80,0.6774193548387096,0.3225806451612903,6,tab:pink
Malta,241,72,115.0,689.0,23,218,0.0954356846473029,0.9045643153526972,5,tab:brown
Hong Kong,239,73,353.0,493.0,81,158,0.3389121338912134,0.6610878661087866,0,tab:blue
Oman,238,74,369.0,378.0,107,131,0.4495798319327731,0.5504201680672269,0,tab:blue
Guinea,238,75,370.0,298.0,134,104,0.5630252100840336,0.4369747899159664,6,tab:pink
Republic of Ireland,237,76,376.0,301.0,128,109,0.540084388185654,0.459915611814346,5,tab:brown
Mali,234,77,367.0,251.0,143,91,0.6111111111111112,0.3888888888888889,6,tab:pink
DR Congo,232,78,410.0,296.0,132,100,0.5689655172413793,0.4310344827586206,6,tab:pink
Australia,228,79,657.0,196.0,166,62,0.7280701754385965,0.2719298245614035,0,tab:blue
Syria,228,80,425.0,312.0,119,109,0.5219298245614035,0.4780701754385965,0,tab:blue
Panama,227,81,350.0,410.0,103,124,0.4537444933920704,0.5462555066079295,4,tab:purple
Tanzania,226,82,262.0,342.0,86,140,0.3805309734513274,0.6194690265486725,6,tab:pink
Haiti,226,83,457.0,306.0,133,93,0.588495575221239,0.411504424778761,4,tab:purple
Iceland,224,84,244.0,444.0,73,151,0.3258928571428571,0.6741071428571429,5,tab:brown
Guatemala,219,85,424.0,310.0,121,98,0.5525114155251142,0.4474885844748858,4,tab:purple
Albania,212,86,178.0,387.0,59,150,0.2783018867924528,0.7075471698113207,5,tab:brown
Zimbabwe,209,87,316.0,258.0,116,93,0.5550239234449761,0.4449760765550239,6,tab:pink
North Korea,209,88,418.0,238.0,130,79,0.6220095693779905,0.3779904306220095,0,tab:blue
Ethiopia,207,89,265.0,372.0,83,124,0.4009661835748792,0.5990338164251208,6,tab:pink
Venezuela,207,90,173.0,535.0,42,165,0.2028985507246377,0.7971014492753623,2,tab:green
Estonia,202,91,171.0,435.0,50,152,0.2475247524752475,0.7524752475247525,5,tab:brown
Latvia,202,92,237.0,328.0,80,122,0.396039603960396,0.6039603960396039,5,tab:brown
Cuba,202,93,335.0,360.0,99,103,0.4900990099009901,0.5099009900990099,4,tab:purple
Lithuania,200,94,189.0,344.0,71,129,0.355,0.645,5,tab:brown
Israel,199,95,345.0,304.0,102,97,0.5125628140703518,0.4874371859296482,5,tab:brown
Congo,198,96,277.0,312.0,90,108,0.4545454545454545,0.5454545454545454,6,tab:pink
Cambodia,197,97,212.0,582.0,50,147,0.2538071065989847,0.7461928934010152,0,tab:blue
Bangladesh,195,98,176.0,443.0,58,137,0.2974358974358974,0.7025641025641025,0,tab:blue
Philippines,193,99,211.0,554.0,53,140,0.2746113989637305,0.7253886010362695,0,tab:blue
Togo,188,100,212.0,279.0,80,108,0.425531914893617,0.574468085106383,6,tab:pink
