label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color,in_degree,out_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank_centrality
Armenia,141,144,142.0,279.0,41,100,0.2907801418439716,0.7092198581560284,5,tab:brown,25,35,60,0.32608695652173914,0.012661924909658806,0.431924882629108,0.06430131740217532,0.0019419078032659534
Bosnia and Herzegovina,141,145,233.0,201.0,73,68,0.5177304964539007,0.4822695035460992,5,tab:brown,37,33,70,0.3804347826086956,0.0058784601009677665,0.4742268041237113,0.07607299851345738,0.002770334810441863
Sri Lanka,140,146,134.0,358.0,35,105,0.25,0.75,0,tab:blue,10,31,41,0.22282608695652173,0.0009036148300464107,0.3420074349442379,0.00207627245296116,0.0010614139996178301
Georgia,140,147,163.0,214.0,51,86,0.3642857142857142,0.6142857142857143,5,tab:brown,25,35,60,0.32608695652173914,0.0012745329736385165,0.4717948717948718,0.058221819905177004,0.0022712291396986915
Grenada,139,148,270.0,293.0,63,76,0.4532374100719424,0.5467625899280576,4,tab:purple,11,21,32,0.17391304347826086,0.001034269483351179,0.31239388794567063,0.0008856013214320104,0.0017199260795073914
Andorra,138,149,42.0,400.0,7,131,0.0507246376811594,0.9492753623188406,5,tab:brown,5,35,40,0.21739130434782608,0.00032240838287521465,0.37627811860940696,0.007197848329293934,0.0009391665856264609
Kazakhstan,137,150,182.0,282.0,41,96,0.2992700729927007,0.7007299270072993,5,tab:brown,23,42,65,0.3532608695652174,0.00980220150347644,0.45098039215686275,0.034952174749168084,0.0017393292865328473
Martinique,137,151,276.0,198.0,79,58,0.5766423357664233,0.4233576642335766,4,tab:purple,17,18,35,0.1902173913043478,0.0047528970355801715,0.368,0.002178463884302073,0.0022923015340312125
Fiji,136,152,419.0,229.0,80,56,0.5882352941176471,0.4117647058823529,1,tab:orange,8,7,15,0.08152173913043478,0.0031092505067268432,0.37474541751527496,0.0024984615612916217,0.0025599655305899556
Saint Lucia,136,153,230.0,267.0,61,75,0.4485294117647059,0.5514705882352942,4,tab:purple,13,18,31,0.16847826086956522,0.0005945323182610944,0.31669535283993117,0.0011791130205127073,0.0017355631607279482
North Macedonia,135,154,172.0,231.0,48,87,0.3555555555555555,0.6444444444444445,5,tab:brown,21,34,55,0.29891304347826086,0.0011456047849815493,0.42990654205607476,0.04960769732332505,0.0021966544336729874
Benin,134,155,159.0,249.0,49,85,0.3656716417910448,0.6343283582089553,6,tab:pink,26,30,56,0.30434782608695654,0.0006856067300645711,0.4125560538116592,0.018660370483634652,0.002413354120889978
Antigua and Barbuda,133,156,191.0,273.0,50,83,0.3759398496240601,0.6240601503759399,4,tab:purple,15,18,33,0.1793478260869565,0.0010511836134020998,0.3222416812609457,0.0017623641052769722,0.0015462752097767703
Belarus,133,157,141.0,236.0,43,90,0.3233082706766917,0.6766917293233082,5,tab:brown,24,36,60,0.32608695652173914,0.0008733002396150424,0.43705463182897863,0.05798938350761254,0.0020493905126606803
Sierra Leone,132,158,137.0,191.0,57,75,0.4318181818181818,0.5681818181818182,6,tab:pink,23,25,48,0.2608695652173913,0.0005781309318419141,0.42105263157894735,0.017298104764036645,0.0031221303146164196
Solomon Islands,131,159,351.0,299.0,68,63,0.5190839694656488,0.4809160305343511,1,tab:orange,5,7,12,0.06521739130434782,0.0,0.2939297124600639,0.00018172198770281985,0.0020264792098933573
Cape Verde,131,160,149.0,165.0,64,67,0.4885496183206106,0.5114503816793893,6,tab:pink,28,24,52,0.2826086956521739,0.003311899534278476,0.42494226327944573,0.018260793322292974,0.0030212160383763778
Vanuatu,131,161,309.0,291.0,52,79,0.3969465648854962,0.6030534351145038,1,tab:orange,6,9,15,0.08152173913043478,0.0016578680403054136,0.33638025594149906,0.0006764770012785445,0.00173716293522542
Mauritania,131,162,106.0,274.0,30,101,0.2290076335877862,0.7709923664122137,6,tab:pink,19,34,53,0.28804347826086957,0.002289869753620512,0.4125560538116592,0.01113043865178221,0.0016860933441530802
Guadeloupe,131,163,264.0,168.0,73,58,0.5572519083969466,0.4427480916030534,4,tab:purple,20,20,40,0.21739130434782608,0.0036424257243066306,0.37627811860940696,0.0030672860691167104,0.002006759995361567
Botswana,131,164,113.0,213.0,42,89,0.3206106870229007,0.6793893129770993,6,tab:pink,21,30,51,0.27717391304347827,0.000464239744174439,0.39148936170212767,0.011773836669821222,0.001797469294286
Azerbaijan,130,165,78.0,301.0,22,108,0.1692307692307692,0.8307692307692308,5,tab:brown,16,32,48,0.2608695652173913,0.0007069114890821772,0.4134831460674157,0.037581557015406455,0.0013709655336738495
Nicaragua,128,166,150.0,366.0,34,94,0.265625,0.734375,4,tab:purple,9,15,24,0.13043478260869565,0.000322211198264354,0.33093525179856115,0.0019849011071119307,0.0012862230468748527
Burundi,123,167,143.0,179.0,50,73,0.4065040650406504,0.5934959349593496,6,tab:pink,18,29,47,0.2554347826086956,0.0004299270274094195,0.39065817409766457,0.01092809819321044,0.0017201514297370082
Barbados,123,168,160.0,221.0,49,74,0.3983739837398374,0.6016260162601627,4,tab:purple,12,20,32,0.17391304347826086,0.0034139738831863984,0.349146110056926,0.0023676256060523575,0.0014872492593056383
Saint Kitts and Nevis,122,169,245.0,215.0,60,62,0.4918032786885246,0.5081967213114754,4,tab:purple,13,18,31,0.16847826086956522,0.0036619961760392724,0.3465160075329567,0.0013405134391344252,0.0014174131763181183
Dominica,121,170,156.0,298.0,34,87,0.2809917355371901,0.71900826446281,4,tab:purple,6,19,25,0.1358695652173913,0.00010066516199504998,0.2713864306784661,0.00023708654804788755,0.0011677549673996858
Niger,117,171,110.0,224.0,34,83,0.2905982905982906,0.7094017094017094,6,tab:pink,21,29,50,0.2717391304347826,0.0007111442535421101,0.4116331096196868,0.015775199030145015,0.001979707085654296
Palestine,117,172,208.0,199.0,47,70,0.4017094017094017,0.5982905982905983,0,tab:blue,18,27,45,0.24456521739130435,0.0011609384827842215,0.3817427385892116,0.0064362889419307895,0.0013918774971761517
Guyana,113,173,191.0,227.0,49,64,0.4336283185840708,0.5663716814159292,4,tab:purple,10,19,29,0.15760869565217392,0.00326394303806923,0.3291592128801431,0.001030646930227509,0.0013716833843260372
Lesotho,112,174,93.0,223.0,32,80,0.2857142857142857,0.7142857142857143,6,tab:pink,19,31,50,0.2717391304347826,0.0020779079906067316,0.35181644359464626,0.008788086699289056,0.0015227991693536227
Seychelles,112,175,86.0,290.0,17,95,0.1517857142857142,0.8482142857142857,6,tab:pink,6,29,35,0.1902173913043478,0.0013534488769254705,0.3274021352313167,0.0018601462793083861,0.0009933506003558439
Gambia,110,176,116.0,168.0,41,69,0.3727272727272727,0.6272727272727273,6,tab:pink,18,26,44,0.2391304347826087,0.0006857294394023762,0.39655172413793105,0.011464959220596455,0.00225584653545229
Guinea-Bissau,105,177,110.0,178.0,37,68,0.3523809523809524,0.6476190476190476,6,tab:pink,15,24,39,0.21195652173913043,0.0003487340382862656,0.3898305084745763,0.010475398569947645,0.0019062719551833746
Alderney,104,178,52.0,515.0,3,101,0.0288461538461538,0.971153846153846,3,tab:red,0,3,3,0.016304347826086956,0.0,0.0,2.0184902868349927e-76,0.000810810810810811
Gibraltar,104,179,133.0,309.0,28,76,0.2692307692307692,0.7307692307692307,5,tab:brown,5,24,29,0.15760869565217392,0.01872992071001482,0.31833910034602075,0.0021437247751577883,0.0011698409679641178
Brunei,102,180,75.0,364.0,15,87,0.1470588235294117,0.8529411764705882,0,tab:blue,6,18,24,0.13043478260869565,0.0013470673480310306,0.3339382940108893,0.001355311330399149,0.0009022735958135625
Papua New Guinea,101,181,278.0,217.0,46,55,0.4554455445544554,0.5445544554455446,1,tab:orange,8,8,16,0.08695652173913043,0.0035572907057536867,0.36947791164658633,0.0017081870566742706,0.0015145342005474223
Eswatini,101,182,88.0,193.0,31,70,0.3069306930693069,0.693069306930693,6,tab:pink,16,29,45,0.24456521739130435,0.0002907596415463133,0.3511450381679389,0.008904594300766027,0.0015660529079369115
Kyrgyzstan,100,183,138.0,163.0,43,57,0.43,0.57,0,tab:blue,16,23,39,0.21195652173913043,0.000312808864648963,0.3687374749498998,0.005138336633537942,0.0013720858866633598
Equatorial Guinea,100,184,89.0,156.0,38,62,0.38,0.62,6,tab:pink,24,23,47,0.2554347826086956,0.0010820513879924879,0.4309133489461358,0.018616774288313938,0.0023088353520471314
