label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss
Venezuela,207,90,173.0,535.0,42,165,0.2028985507246377,0.7971014492753623
Estonia,202,91,171.0,435.0,50,152,0.24752475247524752,0.7524752475247525
Latvia,202,92,237.0,328.0,80,122,0.39603960396039606,0.6039603960396039
Cuba,202,93,335.0,360.0,99,103,0.4900990099009901,0.5099009900990099
Lithuania,200,94,189.0,344.0,71,129,0.355,0.645
Israel,199,95,345.0,304.0,102,97,0.5125628140703518,0.48743718592964824
Congo,198,96,277.0,312.0,90,108,0.45454545454545453,0.5454545454545454
Cambodia,197,97,212.0,582.0,50,147,0.25380710659898476,0.7461928934010152
Bangladesh,195,98,176.0,443.0,58,137,0.29743589743589743,0.7025641025641025
Philippines,193,99,211.0,554.0,53,140,0.27461139896373055,0.7253886010362695
Togo,188,100,212.0,279.0,80,108,0.425531914893617,0.574468085106383
Czech Republic,185,101,357.0,178.0,123,59,0.6648648648648648,0.31891891891891894
Jordan,184,102,307.0,238.0,103,81,0.5597826086956522,0.44021739130434784
Vietnam,181,103,323.0,288.0,87,94,0.48066298342541436,0.5193370165745856
Canada,180,104,318.0,233.0,104,76,0.5777777777777777,0.4222222222222222
South Africa,179,105,283.0,173.0,119,60,0.664804469273743,0.33519553072625696
Burkina Faso,178,106,244.0,266.0,87,91,0.4887640449438202,0.5112359550561798
Jersey,176,107,542.0,188.0,135,41,0.7670454545454546,0.23295454545454544
Croatia,174,108,345.0,162.0,125,46,0.7183908045977011,0.26436781609195403
Faroe Islands,174,109,121.0,451.0,29,145,0.16666666666666666,0.8333333333333334
Yugoslavia,172,110,396.0,224.0,115,57,0.6686046511627907,0.3313953488372093
Curaçao,172,111,297.0,330.0,74,98,0.43023255813953487,0.5697674418604651
Guernsey,172,112,481.0,237.0,112,60,0.6511627906976745,0.3488372093023256
San Marino,171,113,22.0,754.0,0,171,0.0,1.0
Mozambique,171,114,182.0,247.0,72,99,0.42105263157894735,0.5789473684210527
Angola,171,115,241.0,194.0,92,79,0.5380116959064327,0.4619883040935672
Madagascar,168,116,229.0,273.0,77,91,0.4583333333333333,0.5416666666666666
Nepal,167,117,148.0,465.0,44,123,0.2634730538922156,0.7365269461077845
Slovakia,165,118,267.0,203.0,89,73,0.5393939393939394,0.44242424242424244
Uzbekistan,165,119,376.0,177.0,114,51,0.6909090909090909,0.3090909090909091
Mauritius,163,120,163.0,321.0,46,117,0.2822085889570552,0.7177914110429447
Gabon,162,121,217.0,192.0,86,76,0.5308641975308642,0.4691358024691358
Taiwan,162,122,193.0,457.0,46,116,0.2839506172839506,0.7160493827160493
